"NAME","DP03_0062E","state","county",
"Paulding County, Georgia","62453","13","223",
"Richmond County, Georgia","35793","13","245",
"Rockdale County, Georgia","46524","13","247",
"Troup County, Georgia","40486","13","285",
"Walker County, Georgia","38493","13","295",
"Walton County, Georgia","50895","13","297",
"Whitfield County, Georgia","42069","13","313",
"Hawaii County, Hawaii","52788","15","001",
"Honolulu County, Hawaii","74634","15","003",
"Kauai County, Hawaii","64847","15","007",
"Maui County, Hawaii","67013","15","009",
"Ada County, Idaho","57716","16","001",
"Bannock County, Idaho","44018","16","005",
"Bonneville County, Idaho","49626","16","019",
"Canyon County, Idaho","43250","16","027",
"Kootenai County, Idaho","48776","16","055",
"Twin Falls County, Idaho","43624","16","083",
"Adams County, Illinois","45606","17","001",
"Champaign County, Illinois","46776","17","019",
"Cook County, Illinois","55069","17","031",
"DeKalb County, Illinois","56450","17","037",
"DuPage County, Illinois","80015","17","043",
"Kane County, Illinois","72541","17","089",
"Kankakee County, Illinois","58378","17","091",
"Kendall County, Illinois","90072","17","093",
"Lake County, Illinois","77772","17","097",
"LaSalle County, Illinois","50432","17","099",
"McHenry County, Illinois","76628","17","111",
"McLean County, Illinois","58061","17","113",
"Macon County, Illinois","47574","17","115",
"Madison County, Illinois","54438","17","119",
"Peoria County, Illinois","52352","17","143",
"Rock Island County, Illinois","47751","17","161",
"St. Clair County, Illinois","50428","17","163",
"Sangamon County, Illinois","55103","17","167",
"Tazewell County, Illinois","60801","17","179",
"Vermilion County, Illinois","41690","17","183",
"Will County, Illinois","74828","17","197",
"Williamson County, Illinois","49153","17","199",
"Winnebago County, Illinois","47121","17","201",
"Allen County, Indiana","48521","18","003",
"Bartholomew County, Indiana","53002","18","005",
"Clark County, Indiana","52674","18","019",
"Delaware County, Indiana","39323","18","035",
"Elkhart County, Indiana","49937","18","039",
"Floyd County, Indiana","52819","18","043",
"Grant County, Indiana","39851","18","053",
"Hamilton County, Indiana","88155","18","057",
"Hancock County, Indiana","67485","18","059",
"Hendricks County, Indiana","66989","18","063",
"Howard County, Indiana","47159","18","067",
"Johnson County, Indiana","55201","18","081",
"Kosciusko County, Indiana","53825","18","085",
"Lake County, Indiana","50852","18","089",
"LaPorte County, Indiana","45744","18","091",
"Madison County, Indiana","45134","18","095",
"Marion County, Indiana","42557","18","097",
"Monroe County, Indiana","43657","18","105",
"Morgan County, Indiana","52891","18","109",
"Porter County, Indiana","60903","18","127",
"St. Joseph County, Indiana","46254","18","141",
"Tippecanoe County, Indiana","45771","18","157",
"Vanderburgh County, Indiana","42044","18","163",
"Vigo County, Indiana","41385","18","167",
"Wayne County, Indiana","41204","18","177",
"Black Hawk County, Iowa","51685","19","013",
"Dallas County, Iowa","77412","19","049",
"Dubuque County, Iowa","56129","19","061",
"Johnson County, Iowa","60254","19","103",
"Linn County, Iowa","62984","19","113",
"Polk County, Iowa","60978","19","153",
"Pottawattamie County, Iowa","52239","19","155",
"Scott County, Iowa","54679","19","163",
"Story County, Iowa","46091","19","169",
"Woodbury County, Iowa","44721","19","193",
"Butler County, Kansas","58791","20","015",
"Douglas County, Kansas","48565","20","045",
"Johnson County, Kansas","75679","20","091",
"Leavenworth County, Kansas","66779","20","103",
"Riley County, Kansas","44825","20","161",
"Sedgwick County, Kansas","50996","20","173",
"Shawnee County, Kansas","53507","20","177",
"Wyandotte County, Kansas","36637","20","209",
"Boone County, Kentucky","65736","21","015",
"Bullitt County, Kentucky","54690","21","029",
"Campbell County, Kentucky","50872","21","037",
"Christian County, Kentucky","35755","21","047",
"Daviess County, Kentucky","41685","21","059",
"Fayette County, Kentucky","47968","21","067",
"Hardin County, Kentucky","50900","21","093",
"Jefferson County, Kentucky","48210","21","111",
"Kenton County, Kentucky","54300","21","117",
"McCracken County, Kentucky","36712","21","145",
"Madison County, Kentucky","43973","21","151",
"Pike County, Kentucky","31426","21","195",
