,NAME,Median Household,state,county,Unnamed: 4
314,"Bristol County, Massachusetts",53689,25,5,
315,"Essex County, Massachusetts",67888,25,9,
316,"Franklin County, Massachusetts",55416,25,11,
317,"Hampden County, Massachusetts",48865,25,13,
318,"Hampshire County, Massachusetts",59065,25,15,
319,"Middlesex County, Massachusetts",82226,25,17,
320,"Norfolk County, Massachusetts",80248,25,21,
321,"Plymouth County, Massachusetts",73396,25,23,
322,"Suffolk County, Massachusetts",51049,25,25,
323,"Worcester County, Massachusetts",62505,25,27,
324,"Allegan County, Michigan",50078,26,5,
325,"Bay County, Michigan",44548,26,17,
326,"Berrien County, Michigan",43526,26,21,
327,"Calhoun County, Michigan",39190,26,25,
328,"Clinton County, Michigan",57330,26,37,
329,"Eaton County, Michigan",55199,26,45,
330,"Genesee County, Michigan",40323,26,49,
331,"Grand Traverse County, Michigan",51635,26,55,
332,"Ingham County, Michigan",43337,26,65,
333,"Isabella County, Michigan",35593,26,73,
334,"Jackson County, Michigan",42653,26,75,
335,"Kalamazoo County, Michigan",44306,26,77,
336,"Kent County, Michigan",50653,26,81,
337,"Lapeer County, Michigan",51428,26,87,
338,"Lenawee County, Michigan",48224,26,91,
339,"Livingston County, Michigan",75719,26,93,
340,"Macomb County, Michigan",52185,26,99,
341,"Marquette County, Michigan",45149,26,103,
342,"Midland County, Michigan",52356,26,111,
343,"Monroe County, Michigan",50675,26,115,
344,"Muskegon County, Michigan",40535,26,121,
345,"Oakland County, Michigan",63345,26,125,
346,"Ottawa County, Michigan",54323,26,139,
347,"Saginaw County, Michigan",40318,26,145,
348,"St. Clair County, Michigan",44518,26,147,
349,"Shiawassee County, Michigan",41221,26,155,
350,"Van Buren County, Michigan",44456,26,159,
351,"Washtenaw County, Michigan",56330,26,161,
352,"Wayne County, Michigan",39486,26,163,
353,"Anoka County, Minnesota",67819,27,3,
354,"Blue Earth County, Minnesota",49266,27,13,
355,"Carver County, Minnesota",83194,27,19,
356,"Dakota County, Minnesota",71382,27,37,
357,"Hennepin County, Minnesota",62541,27,53,
358,"Olmsted County, Minnesota",63803,27,109,
359,"Ramsey County, Minnesota",53925,27,123,
360,"St. Louis County, Minnesota",46773,27,137,
361,"Scott County, Minnesota",85382,27,139,
362,"Sherburne County, Minnesota",69140,27,141,
363,"Stearns County, Minnesota",54887,27,145,
364,"Washington County, Minnesota",80246,27,163,
365,"Wright County, Minnesota",72467,27,171,
366,"DeSoto County, Mississippi",54102,28,33,
367,"Forrest County, Mississippi",31584,28,35,
368,"Harrison County, Mississippi",41098,28,47,
369,"Hinds County, Mississippi",34581,28,49,
370,"Jackson County, Mississippi",44824,28,59,
371,"Jones County, Mississippi",34580,28,67,
372,"Lauderdale County, Mississippi",35255,28,75,
373,"Lee County, Mississippi",41202,28,81,
374,"Madison County, Mississippi",60126,28,89,
375,"Rankin County, Mississippi",56437,28,121,
376,"Boone County, Missouri",44201,29,19,
377,"Buchanan County, Missouri",41756,29,21,
378,"Cape Girardeau County, Missouri",46090,29,31,
379,"Cass County, Missouri",54690,29,37,
380,"Christian County, Missouri",53013,29,43,
381,"Clay County, Missouri",57002,29,47,
382,"Cole County, Missouri",50934,29,51,
383,"Franklin County, Missouri",42214,29,71,
384,"Greene County, Missouri",40365,29,77,
385,"Jackson County, Missouri",44401,29,95,
386,"Jasper County, Missouri",37496,29,97,
387,"Jefferson County, Missouri",52545,29,99,
388,"Platte County, Missouri",65449,29,165,
389,"St. Charles County, Missouri",70230,29,183,
390,"St. Francois County, Missouri",34129,29,187,
391,"St. Louis County, Missouri",56309,29,189,
392,"St. Louis city, Missouri",31997,29,510,
393,"Cascade County, Montana",41732,30,13,
394,"Flathead County, Montana",46444,30,29,
395,"Gallatin County, Montana",52274,30,31,
396,"Missoula County, Montana",45595,30,63,
397,"Yellowstone County, Montana",49482,30,111,
398,"Douglas County, Nebraska",51096,31,55,
399,"Lancaster County, Nebraska",50220,31,109,
400,"Sarpy County, Nebraska",66779,31,153,
401,"Clark County, Nevada",49546,32,3,
402,"Washoe County, Nevada",49026,32,31,
403,"Cheshire County, New Hampshire",56238,33,5,
404,"Grafton County, New Hampshire",52430,33,9,
405,"Hillsborough County, New Hampshire",69089,33,11,
406,"Merrimack County, New Hampshire",58742,33,13,
407,"Rockingham County, New Hampshire",76585,33,15,
408,"Strafford County, New Hampshire",52227,33,17,
409,"Atlantic County, New Jersey",51191,34,1,
410,"Bergen County, New Jersey",82729,34,3,
411,"Burlington County, New Jersey",74693,34,5,
412,"Camden County, New Jersey",59280,34,7,
413,"Cape May County, New Jersey",57001,34,9,
414,"Cumberland County, New Jersey",47072,34,11,
415,"Essex County, New Jersey",51009,34,13,
416,"Gloucester County, New Jersey",72930,34,15,
417,"Hudson County, New Jersey",57539,34,17,
418,"Hunterdon County, New Jersey",105186,34,19,
419,"Mercer County, New Jersey",67991,34,21,
420,"Middlesex County, New Jersey",77478,34,23,
421,"Monmouth County, New Jersey",81308,34,25,
422,"Morris County, New Jersey",95294,34,27,
423,"Ocean County, New Jersey",59312,34,29,
424,"Passaic County, New Jersey",59050,34,31,
425,"Salem County, New Jersey",60360,34,33,
