,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
308,"Prince George's County, Maryland",17.5,17.5,10,27585,87332,42154,71499,5.9,33771,11.5,44304,5.2,30755,12.5,19.6,11.5,40753,13.1,84137,21785,41985,20110,41141,77109,70605,71771,85139,40127,51579,45749,30149,47644,22731,21221,69608,71642,19118,24,33,
309,"St. Mary's County, Maryland",22.9,22.9,10.6,20179,93077,36830,109367,7.2,50878,9.1,61168,5.5,52324,10.4,13.2,7.5,65958,12.3,91001,28811,41500,12917,51915,90107,81536,67072,82722,45330,58023,32169,21106,6605,15393,-666666666,85234,65128,14497,24,37,
310,"Washington County, Maryland",9.8,9.8,10.3,23519,61991,41861,100996,8.5,35550,15.8,36513,3.3,40322,12.9,8.5,10,31228,14.5,71094,23949,43293,11704,36310,64986,70211,54415,80603,30908,46945,46393,28214,25668,23937,-666666666,54648,76983,14177,24,43,
311,"Wicomico County, Maryland",7.3,7.3,9,26312,67003,39009,47564,8.6,26373,15,11615,4.5,32532,12.4,15.4,12.8,35599,19.1,65669,24427,36591,20938,31812,50666,78090,50306,111179,30389,40995,45662,26459,12127,20770,25391,48409,70313,11167,24,45,
312,"Baltimore city, Maryland",10.1,10.1,7.9,25728,71988,42314,45523,9,30784,12.8,32411,3.4,32710,11,11.7,11.2,33902,18.3,66427,23982,26627,22085,36492,67119,57648,60921,75432,31206,40338,43777,25908,50189,23121,12264,55083,72021,17291,24,510,
313,"Barnstable County, Massachusetts",16.1,16.1,10.8,29837,69306,51430,50557,9.1,37953,14.5,70753,4.9,35677,12.1,22.2,12.3,41555,13.7,68289,30338,52303,26480,39961,72099,59431,52084,69809,31671,41821,60710,8157,27131,21214,14043,75087,67275,22185,25,1,
314,"Berkshire County, Massachusetts",10.1,10.1,10,13462,60982,37186,25196,11.4,36731,15.3,21061,3.9,36049,11.6,15.1,12.2,42089,17.1,50405,25698,50196,21297,31425,57799,62341,55400,67970,30178,40400,50801,16384,29480,20820,21250,83019,67217,10847,25,3,
315,"Bristol County, Massachusetts",12.5,12.5,9.9,21030,65778,43589,50156,9.7,34238,14.2,24622,4.7,40873,11.6,17.5,11,35050,16.6,70576,31622,38105,18718,38114,66961,64251,62715,82871,32642,45065,43841,32069,33766,24946,14939,71259,65915,10810,25,5,
316,"Essex County, Massachusetts",17,17,9.6,26088,76271,37246,80629,8.4,33480,13.4,58839,4.6,40743,11.1,23.2,9.7,36388,16.4,80570,31207,47205,15182,40554,81733,66227,66953,81548,32355,50352,47248,20535,31432,20608,7156,91197,70173,14585,25,9,
317,"Franklin County, Massachusetts",9.6,9.6,12.1,22523,52250,38007,21788,9.7,36037,16.5,38944,5.2,21471,12.2,16,12,21858,14.7,53450,24924,36926,20063,35412,59776,61310,61719,75893,35345,52856,25496,12365,18795,27738,6789,51869,41959,12770,25,11,
318,"Hampden County, Massachusetts",9.7,9.7,8.9,17153,65281,41383,52125,10.5,32199,14.8,50613,4,35599,11.8,16.8,10.4,29384,18.7,65836,26984,37079,16368,35190,65097,61658,55876,67397,31411,48172,50408,21340,40393,20518,14975,70735,55938,12091,25,13,
319,"Hampshire County, Massachusetts",12,12,8.2,27055,55646,38419,52042,8.2,35714,10.1,5824,4.7,42215,10.9,22.2,9.3,23898,26.3,62246,20893,36992,9944,31922,60125,70777,64750,70938,26877,42880,36300,16223,25586,22458,16593,57235,105156,9236,25,15,
